project_day,date,weekday,task_id,road_impact_level,zone,actual_block_scheduled,actual_dm,recommended_block,dm_B1,dm_B2_peak_am,dm_B3_midday,dm_B4_peak_pm,is_within_planned_window,task_delay_days,peak_conflict_flag,effective_day_contribution
1,2025-03-03,Monday,T01,0,X,B3,1.0,B1,1.0,1.0,1.0,1.0,True,0,0,1.0
2,2025-03-04,Tuesday,T01,0,X,B3,1.0,B1,1.0,1.0,1.0,1.0,True,0,0,1.0
3,2025-03-05,Wednesday,T01,0,X,B3,1.0,B1,1.0,1.0,1.0,1.0,True,0,0,1.0
4,2025-03-06,Thursday,T02,2,X,B3,1.04,B1,1.02,1.1,1.04,1.08,True,1,0,0.9615
4,2025-03-06,Thursday,T05,3,X,B3,1.25,B1,1.15,1.7,1.25,1.65,True,1,0,0.8
5,2025-03-07,Friday,T02,2,X,B3,1.04,B1,1.02,1.1,1.04,1.08,True,1,0,0.9615
5,2025-03-07,Friday,T05,3,X,B3,1.25,B1,1.15,1.7,1.25,1.65,True,1,0,0.8
6,2025-03-10,Monday,T03,3,A,B3,1.15,B1,1.1,1.55,1.15,1.45,True,2,0,0.8696
6,2025-03-10,Monday,T04,2,B,B3,1.1,B1,1.05,1.4,1.1,1.35,True,0,0,0.9091
6,2025-03-10,Monday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
7,2025-03-11,Tuesday,T03,3,A,B3,1.15,B1,1.1,1.55,1.15,1.45,True,2,0,0.8696
7,2025-03-11,Tuesday,T04,2,B,B3,1.1,B1,1.05,1.4,1.1,1.35,True,0,0,0.9091
7,2025-03-11,Tuesday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
8,2025-03-12,Wednesday,T03,3,A,B3,1.15,B1,1.1,1.55,1.15,1.45,True,2,0,0.8696
8,2025-03-12,Wednesday,T04,2,B,B3,1.1,B1,1.05,1.4,1.1,1.35,True,0,0,0.9091
8,2025-03-12,Wednesday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
9,2025-03-13,Thursday,T03,3,A,B3,1.15,B1,1.1,1.55,1.15,1.45,True,2,0,0.8696
9,2025-03-13,Thursday,T04,2,B,B3,1.1,B1,1.05,1.4,1.1,1.35,True,0,0,0.9091
9,2025-03-13,Thursday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
9,2025-03-13,Thursday,T07,3,A,B3,1.28,B1,1.18,1.72,1.28,1.68,True,1,0,0.7812
10,2025-03-14,Friday,T03,3,A,B3,1.15,B1,1.1,1.55,1.15,1.45,True,2,0,0.8696
10,2025-03-14,Friday,T06,3,X,B3,1.3,B1,1.2,1.78,1.3,1.7,True,3,0,0.7692
