predecessor_id,successor_id,lag_days,dependency_type
T01,T02,0,FS
T01,T05,0,FS
T02,T03,0,FS
T02,T04,0,FS
T05,T06,0,FS
T06,T07,0,FS
T07,T08,0,FS
T07,T10,0,FS
T08,T09,0,FS
T08,T11,0,FS
T09,T12,0,FS
T10,T11,0,SS
T10,T13,0,FS
T11,T12,0,SS
T11,T14,0,FS
T12,T15,0,FS
T13,T14,0,SS
T13,T16,0,FS
T14,T15,0,SS
T14,T17,0,FS
T15,T18,0,FS
T16,T17,0,SS
T16,T19,0,FS
T17,T18,0,SS
T17,T20,0,FS
T18,T21,0,FS
T19,T20,0,SS
T19,T22,0,FS
T20,T21,0,SS
T21,T22,0,FS
T22,T23,0,FS
T22,T24,0,FS
T23,T24,0,FS
