week,resource_type,max_available_units,surge_capacity_units
1,general_labour,10,12
1,specialist_crew,6,8
1,heavy_equipment,3,4
1,earthworks_crew,7,9
1,paving_crew,0,0
1,paving_qc,0,0
1,traffic_mgmt,6,8
1,survey_team,6,8
1,qa_qc_team,2,2
2,general_labour,14,18
2,specialist_crew,10,12
2,heavy_equipment,5,6
2,earthworks_crew,10,12
2,paving_crew,0,0
2,paving_qc,0,0
2,traffic_mgmt,8,10
2,survey_team,4,5
2,qa_qc_team,2,2
3,general_labour,18,22
3,specialist_crew,12,15
3,heavy_equipment,6,8
3,earthworks_crew,14,18
3,paving_crew,8,10
3,paving_qc,0,0
3,traffic_mgmt,10,12
3,survey_team,2,2
3,qa_qc_team,4,5
4,general_labour,20,25
4,specialist_crew,12,15
4,heavy_equipment,6,8
4,earthworks_crew,14,18
4,paving_crew,12,15
4,paving_qc,6,8
4,traffic_mgmt,10,12
4,survey_team,0,0
4,qa_qc_team,4,5
5,general_labour,18,22
5,specialist_crew,10,12
5,heavy_equipment,5,6
5,earthworks_crew,12,15
5,paving_crew,14,18
5,paving_qc,8,10
5,traffic_mgmt,10,12
5,survey_team,0,0
5,qa_qc_team,6,8
6,general_labour,16,20
6,specialist_crew,8,10
6,heavy_equipment,4,5
6,earthworks_crew,8,10
6,paving_crew,16,20
6,paving_qc,10,12
6,traffic_mgmt,8,10
6,survey_team,0,0
6,qa_qc_team,6,8
7,general_labour,12,15
7,specialist_crew,6,8
7,heavy_equipment,3,4
7,earthworks_crew,4,5
7,paving_crew,10,12
7,paving_qc,10,12
7,traffic_mgmt,6,8
7,survey_team,0,0
7,qa_qc_team,4,5
8,general_labour,8,10
8,specialist_crew,4,5
8,heavy_equipment,1,1
8,earthworks_crew,0,0
8,paving_crew,4,5
8,paving_qc,6,8
8,traffic_mgmt,4,5
8,survey_team,0,0
8,qa_qc_team,6,8
