task_id,resource_type,project_day,date,weekday,is_within_planned_window,planned_workers,actual_workers,idle_workers,labour_cost_usd,idle_labour_cost_usd,absenteeism_rate,total_equipment_units,crane_units,milling_units,excavator_units,compactor_units,paver_units,equipment_utilisation_rate,idle_equipment_units,preferred_block_id,effective_dm
T01,general_labour,1,2025-03-03,Monday,1,8,8,0,5200,0.0,0.05,0,0,0,0,0,0,0.0,0,B3,1.0
T01,general_labour,2,2025-03-04,Tuesday,1,8,8,0,5200,0.0,0.039,0,0,0,0,0,0,0.0,0,B3,1.0
T01,general_labour,3,2025-03-05,Wednesday,1,8,8,0,5200,0.0,0.05,0,0,0,0,0,0,0.0,0,B3,1.0
T02,survey_team,4,2025-03-06,Thursday,1,4,4,0,3400,0.0,0.086,0,0,0,0,0,0,0.0,0,B3,1.04
T02,survey_team,5,2025-03-07,Friday,1,4,4,0,3400,0.0,0.033,0,0,0,0,0,0,0.0,0,B3,1.04
T02,survey_team,6,2025-03-10,Monday,0,4,4,4,3400,1020.0,0.009,0,0,0,0,0,0,0.0,0,B3,1.04
T03,specialist_crew,6,2025-03-10,Monday,1,6,6,0,7200,0.0,0.045,2,1,0,1,0,0,0.84,0.32,B3,1.15
T03,specialist_crew,7,2025-03-11,Tuesday,1,6,5,1,6000,360.0,0.108,2,1,0,1,0,0,0.75,0.5,B3,1.15
T03,specialist_crew,8,2025-03-12,Wednesday,1,6,5,1,6000,360.0,0.097,2,1,0,1,0,0,0.97,0.06,B3,1.15
T03,specialist_crew,9,2025-03-13,Thursday,1,6,5,1,6000,360.0,0.114,2,1,0,1,0,0,0.72,0.56,B3,1.15
T03,specialist_crew,10,2025-03-14,Friday,1,6,6,0,7200,0.0,0.056,2,1,0,1,0,0,0.78,0.44,B3,1.15
T03,specialist_crew,11,2025-03-17,Monday,0,6,5,6,6000,2160.0,0.101,2,1,0,1,0,0,0.0,2.0,B3,1.15
T03,specialist_crew,12,2025-03-18,Tuesday,0,6,6,6,7200,2160.0,0.039,2,1,0,1,0,0,0.0,2.0,B3,1.15
