risk_id,category,probability,occurred_flag,delay_days,cost_impact_usd,affected_task_ids,frequency_basis
R01,traffic,0.3,1,1,8500,T02|T05,per_peak_window
R02,permit,0.2,1,1,4200,T05|T06,per_permit_event
R03,material,0.15,1,2,18000,T03,per_delivery
R04,traffic,0.4,1,0,7000,T06|T07,per_peak_window
R05,equipment,0.05,1,1,12000,T07,per_machine_day
R06,traffic,0.25,1,0,3500,T05|T06,per_peak_window
R07,weather,0.08,1,2,9000,T09|T10,per_week
R08,labour,0.12,1,0,6000,T10,per_week
R09,traffic,0.1,1,1,11000,T06|T13,per_peak_window
R10,material,0.2,1,1,4500,T11|T12,per_delivery
R11,weather,0.05,1,0,5500,T13,per_week
R12,traffic,0.15,1,0,2800,T07|T08,per_peak_window
R13,equipment,0.05,1,1,14000,T15,per_machine_day
R14,traffic,0.3,1,0,1500,T16,per_peak_window
R15,material,0.1,1,2,22000,T19|T20,per_delivery
R16,labour,0.08,1,0,8000,T14,per_week
R17,traffic,0.2,0,0,0,none,per_peak_window
R18,weather,0.08,1,1,7500,T21,per_week
R19,traffic,0.15,1,1,9500,T21,per_peak_window
R20,permit,0.1,1,0,2000,T22,per_permit_event
R21,qa,0.15,1,1,5000,T22|T24,per_inspection
R22,traffic,0.1,0,0,0,T24,per_peak_window
