task_id,wbs_code,task_name,primary_resource_type,workers_required,equip_crane,equip_milling_machine,equip_excavator,equip_compactor,equip_paver,planned_start_day,planned_duration_days,actual_duration_days,delay_days,delay_cause_code,road_impact_level,zone,location_segment,dm_block_B1_early,dm_block_B2_peak_am,dm_block_B3_midday,dm_block_B4_peak_pm,unit_cost_per_worker_day_usd,planned_cost_usd,planned_start_date,planned_end_date,actual_start_date,actual_end_date
T01,1.0,site_mobilisation_setup,general_labour,8,0,0,0,0,0,0,3,3,0,NONE,0,X,all,1.0,1.0,1.0,1.0,650,15600,2025-03-03,2025-03-05,2025-03-03,2025-03-05
T02,2.0,utility_survey_marking,survey_team,4,0,0,0,0,0,3,2,3,1,TRAF,2,X,all,1.02,1.1,1.04,1.08,850,6800,2025-03-06,2025-03-07,2025-03-06,2025-03-10
T03,2.1,utility_relocation_gas,specialist_crew,6,1,0,1,0,0,5,5,7,2,MAT,3,A,seg_A,1.1,1.55,1.15,1.45,1200,36000,2025-03-10,2025-03-14,2025-03-10,2025-03-18
T04,2.2,utility_relocation_fibre,specialist_crew,5,0,0,1,0,0,5,4,4,0,NONE,2,B,seg_B,1.05,1.4,1.1,1.35,1200,24000,2025-03-10,2025-03-13,2025-03-10,2025-03-13
T05,3.0,traffic_diversion_setup,traffic_mgmt,6,0,0,0,0,0,3,2,3,1,PERMIT,3,X,all,1.15,1.7,1.25,1.65,750,9000,2025-03-06,2025-03-07,2025-03-06,2025-03-10
T06,3.1,lane_closure_phase1,traffic_mgmt,4,0,0,0,0,0,5,10,13,3,TRAF,3,X,all,1.2,1.78,1.3,1.7,750,30000,2025-03-10,2025-03-21,2025-03-10,2025-03-26
T07,4.0,pavement_milling_seg_A,heavy_equipment,5,0,2,0,0,0,8,4,5,1,EQUIP,3,A,seg_A,1.18,1.72,1.28,1.68,2400,48000,2025-03-13,2025-03-18,2025-03-13,2025-03-19
T08,4.1,pavement_milling_seg_B,heavy_equipment,5,0,2,0,0,0,12,4,4,0,NONE,3,B,seg_B,1.18,1.72,1.28,1.68,2400,48000,2025-03-19,2025-03-24,2025-03-19,2025-03-24
T09,4.2,pavement_milling_seg_C,heavy_equipment,5,0,1,0,0,0,16,4,6,2,WTHR,2,C,seg_C,1.15,1.68,1.26,1.62,2400,48000,2025-03-25,2025-03-28,2025-03-25,2025-04-01
T10,5.0,subbase_preparation_seg_A,earthworks_crew,7,0,0,2,1,0,12,5,6,1,TRAF,2,A,seg_A,1.08,1.45,1.12,1.4,900,31500,2025-03-19,2025-03-25,2025-03-19,2025-03-26
