task_id,project_day,date,weekday,block_id,block_label,block_hours,is_peak_block,block_duration_hrs,avg_volume_veh_hr,volume_factor,base_task_dm,dynamic_dm,delay_index
T01,1,2025-03-03,Monday,B1,early,06:00-07:00,0,1,288,1.0,1.0,1.0,-0.426
T01,1,2025-03-03,Monday,B2,peak_am,07:00-09:00,1,2,1598,1.266,1.0,1.266,0.502
T01,1,2025-03-03,Monday,B3,midday,09:00-16:00,0,7,733,1.0,1.0,1.0,-0.106
T01,1,2025-03-03,Monday,B4,peak_pm,17:00-19:00,1,2,1662,1.2873,1.0,1.2873,0.548
T01,2,2025-03-04,Tuesday,B1,early,06:00-07:00,0,1,327,1.0,1.0,1.0,-0.377
T01,2,2025-03-04,Tuesday,B2,peak_am,07:00-09:00,1,2,1592,1.264,1.0,1.264,0.516
T01,2,2025-03-04,Tuesday,B3,midday,09:00-16:00,0,7,751,1.0,1.0,1.0,-0.092
T01,2,2025-03-04,Tuesday,B4,peak_pm,17:00-19:00,1,2,1774,1.3247,1.0,1.3247,0.649
T01,3,2025-03-05,Wednesday,B1,early,06:00-07:00,0,1,291,1.0,1.0,1.0,-0.428
T01,3,2025-03-05,Wednesday,B2,peak_am,07:00-09:00,1,2,1582,1.2607,1.0,1.2607,0.515
T01,3,2025-03-05,Wednesday,B3,midday,09:00-16:00,0,7,780,1.0,1.0,1.0,-0.075
T01,3,2025-03-05,Wednesday,B4,peak_pm,17:00-19:00,1,2,1690,1.2967,1.0,1.2967,0.6
T02,4,2025-03-06,Thursday,B1,early,06:00-07:00,0,1,364,1.0,1.02,1.02,-0.343
T02,4,2025-03-06,Thursday,B2,peak_am,07:00-09:00,1,2,1677,1.2923,1.1,1.4215,0.58
T02,4,2025-03-06,Thursday,B3,midday,09:00-16:00,0,7,998,1.066,1.04,1.1086,0.074
T02,4,2025-03-06,Thursday,B4,peak_pm,17:00-19:00,1,2,2433,1.5443,1.08,1.6678,0.99
T05,4,2025-03-06,Thursday,B1,early,06:00-07:00,0,1,369,1.0,1.15,1.15,-0.343
T05,4,2025-03-06,Thursday,B2,peak_am,07:00-09:00,1,2,2009,1.403,1.7,2.3851,0.798
T05,4,2025-03-06,Thursday,B3,midday,09:00-16:00,0,7,1005,1.0683,1.25,1.3354,0.078
