task_id,task_name,impact,base_block,opt_block,base_start,opt_start,start_shift,base_dm,opt_dm,dm_saving_days,cost_saving_usd,block_changed
T01,site_mobilisation_setup,0,B3,B4,0,0,0,1.0,1.0,0.0,0,True
T02,utility_survey_marking,2,B3,B1,3,3,0,1.04,1.02,0.04,136,True
T03,utility_relocation_gas,3,B2,B1,5,5,0,1.55,1.1,2.25,16200,True
T04,utility_relocation_fibre,2,B3,B1,5,5,0,1.1,1.05,0.2,1200,True
T05,traffic_diversion_setup,3,B3,B1,3,3,0,1.25,1.15,0.2,900,True
T06,lane_closure_phase1,3,B3,B1,5,5,0,1.3,1.2,1.0,3000,True
T07,pavement_milling_seg_A,3,B2,B1,15,15,0,1.72,1.18,2.16,25920,True
T08,pavement_milling_seg_B,3,B2,B1,19,19,0,1.72,1.18,2.16,25920,True
T09,pavement_milling_seg_C,2,B3,B1,23,23,0,1.26,1.15,0.44,5280,True
T10,subbase_preparation_seg_A,2,B3,B1,19,19,0,1.12,1.08,0.2,1260,True
T11,subbase_preparation_seg_B,2,B3,B1,23,23,0,1.12,1.08,0.2,1260,True
T12,subbase_preparation_seg_C,1,B3,B1,27,27,0,1.11,1.06,0.25,1575,True
T13,drainage_installation_seg_A,3,B2,B1,24,24,0,1.68,1.12,3.36,20160,True
T14,drainage_installation_seg_B,2,B3,B1,28,28,0,1.2,1.1,0.6,3600,True
T15,drainage_installation_seg_C,2,B3,B1,32,32,0,1.18,1.08,0.5,3000,True
T16,base_course_laying_seg_A,3,B2,B1,30,30,0,1.7,1.14,2.24,19712,True
T17,base_course_laying_seg_B,3,B3,B1,34,34,0,1.24,1.14,0.4,3520,True
T18,base_course_laying_seg_C,3,B3,B1,37,37,0,1.22,1.12,0.4,3520,True
T19,asphalt_paving_seg_A,3,B3,B1,34,34,0,1.28,1.18,0.3,3900,True
T20,asphalt_paving_seg_B,3,B2,B1,38,38,0,1.74,1.17,1.71,22230,True
T21,asphalt_paving_seg_C,3,B3,B1,41,41,0,1.26,1.16,0.3,3900,True
T22,road_marking_signage,1,B3,B1,44,44,0,1.03,1.02,0.03,180,True
T23,safety_barrier_installation,1,B3,B1,47,47,0,1.02,1.01,0.02,78,True
T24,final_inspection_handover,0,B3,B1,49,49,0,1.0,1.0,0.0,0,True
