lambda,det_cost,mean_cost,p50_cost,p75_cost,p90_cost,p95_cost,p99_cost,std_cost,mean_dur,p90_dur
0.0,806324.0,1235744.6117099836,1220336.485374764,1342283.2540684268,1455091.500733132,1549314.8070925532,1799704.7832253913,180179.3587689997,52.39363110586574,53.04541311945576
0.1,806324.0,1228654.6298856528,1209843.5739719113,1332162.5556494887,1460577.1522773276,1550258.7639256136,1760487.8017284083,182280.7279004515,52.37288753757595,53.02484378663355
0.2,806324.0,1230030.664935543,1207508.784345929,1329904.1284016115,1458131.6328552535,1564251.1000084332,1795931.3428868398,186441.04573447575,52.36932401650022,53.025788349434215
0.3,806324.0,1233707.6896470743,1216050.9135407975,1336745.3880031714,1472726.488686968,1560175.1226976202,1816411.0202254537,188149.90391183327,52.381027972171296,53.026897772147
0.4,806324.0,1234551.2113447431,1216473.1655493719,1337520.813725293,1465938.5049770956,1556330.2662003897,1801091.2048277233,188615.6783643492,52.38788328875769,53.017415204919104
0.5,806324.0,1232963.1025293868,1211488.7217637906,1337564.3203802775,1462495.2865851405,1562391.1834374568,1805425.63196525,183879.51642363798,52.377604388462046,53.03152757735218
0.6,806324.0,1240529.6230437784,1216153.5306084477,1344833.0919744573,1475164.8060522794,1581951.5392178146,1814717.5380852039,189015.38617280847,52.39572667271762,53.03815849481883
0.7,806324.0,1234316.4269495283,1217754.1208832725,1343490.538497367,1455345.6791987997,1562163.282676912,1802274.8137083962,185385.34723722344,52.3860695970474,53.029666782864034
0.8,806324.0,1232961.3239766741,1216044.748355662,1340151.2809101169,1470061.782796718,1563937.511692129,1820778.8636430055,189019.36520225165,52.37885267840999,53.04601830376197
0.9,806324.0,1232683.0969331071,1212316.3568669413,1343540.1085820042,1463394.8279461733,1572310.3964514916,1806586.7610598523,187641.59640496603,52.38492638177144,53.043705503189386
1.0,806324.0,1235969.8125478344,1215676.723969495,1339980.4342379346,1468614.254243601,1575202.7912226196,1771174.35424821,184743.0537378231,52.39053295146408,53.03304420489486
